coin,avg_rv_30d
USDC,0.0017002997061596119
RLUSD,0.002505673593756624
FDUSD,0.006627368441778504
WETH,0.007330745535513739
USDT,0.007336167186005785
DAI,0.007421082438240723
USDY,0.017046926073194878
TUSD,0.017667783254103203
BUSD,0.017847292891643437
PYUSD,0.01823621034197975
USD1,0.019964216025973362
USDE,0.02321430048970171
FTN,0.06434979871311028
USDD,0.07697777388491321
LEO,0.10406208707278065
RON,0.11074701070147946
XAUT,0.12230623932126275
PAXG,0.12495739609770778
JLP,0.22684854316067604
OKB,0.23424173787323344
NEXO,0.282325572195327
WBT,0.29407643620879037
KCS,0.3001026419953769
AB,0.30427129069490577
TRX,0.3232146353537213
KAVA,0.33875644077104317
GT,0.3505502929514322
BDX,0.39485944315730825
BGB,0.39861601867747626
BNB,0.40329244299362144
XMR,0.41702850665435426
VENOM,0.42221068590264976
NFT,0.42601867140360816
BTT,0.4743643942866503
ZEC,0.4952211310299079
XEC,0.5004604829656797
TWT,0.5050250768774682
SUN,0.5051506128822064
EOS,0.5171721587995887
TON,0.5209115275371518
A,0.5274229453771205
AMP,0.5387869593973797
CMETH,0.5863590995964816
AAVE,0.586435112582498
WBETH,0.6012033718904423
STETH,0.6033626019426944
USDX,0.6035542644368304
ETH,0.6045220441354501
OHM,0.6046947302557952
WEETH,0.6052172784735671
GNO,0.6052594639714503
CBETH,0.6059929573393772
APE,0.6067530649216134
ATOM,0.608402820851704
FLOW,0.6084064799831329
METH,0.6118204206299769
LUNC,0.6152732965708456
KAIA,0.6173264883455244
BSV,0.6211849485291658
ICP,0.6314656241014641
APT,0.636697915344467
CHZ,0.6374677173705221
JITOSOL,0.6419961632515351
FIL,0.6514530462392681
DOT,0.6549730577021868
JST,0.657475180811001
CTC,0.6641843193917598
BBSOL,0.6646798149103058
JTO,0.6652811689404551
MSOL,0.6653618113710543
SOL,0.666851290647198
BNSOL,0.6674868437639369
SHIB,0.6710265205486179
EGLD,0.674426639871771
TRUMP,0.6807931800071481
RUNE,0.6808458010255143
PI,0.6832209831620726
CORE,0.6843304839284732
NEO,0.6884529142905914
LTC,0.689497000576935
BCH,0.6952159717986525
COMP,0.6961138691907911
CAKE,0.7005398639745007
DEXE,0.7032701808051269
HYPE,0.7116351528467388
NEAR,0.7162428016811949
LINK,0.7179968429871936
MATIC,0.7220920282238041
POL,0.7232533505804376
VET,0.7239617725328799
GRT,0.7331628555235348
AXS,0.7337336679261629
ADA,0.7369704019851699
LSETH,0.737747147710924
MANA,0.742683856098815
AVAX,0.743342172099922
CRO,0.7537445268849419
ONDO,0.7550570252132627
SKY,0.7552445979180378
FET,0.760454784585668
THETA,0.7698706493109961
QNT,0.7711410914563657
DYDX,0.7778242983242302
AKT,0.7914535766551994
ETC,0.7930960525850518
S,0.7946519737701498
RENDER,0.7962029126506189
SAND,0.8010996546777527
TAO,0.806557123715088
AERO,0.8192252996569244
SUPER,0.8194793204512416
STX,0.8284756537939351
ENS,0.8302210013921143
MOVE,0.8352239138461361
GALA,0.8373365032754311
ARB,0.8408943181530175
PENDLE,0.8497159313334225
IMX,0.8510546360242223
PEPE,0.8727737584972888
XRP,0.8732943094448374
INJ,0.883082867211121
UNI,0.8887668922194426
WAL,0.8921915610904287
ATH,0.9164920198762195
OP,0.9194124251398769
W,0.9296993047785511
RAY,0.9397319086844209
PYTH,0.9398785609116665
JUP,0.9447315102813583
AXL,0.9493866888262292
STRK,0.9537484858595289
XDC,0.9564200844216282
DOGE,0.9606724556604119
RSR,0.9647769220882874
SAROS,0.9706883095404393
LDO,0.9723827890280243
HNT,0.9790570038522589
EIGEN,0.9862377106252675
TIA,0.9867991057487568
SUI,0.9910678692434587
FLR,0.9971919680535322
XCN,1.0062078856357881
JASMY,1.0132236093197755
SEI,1.0132396928771177
VIRTUAL,1.0194966704874897
KAS,1.0225816969721542
ZK,1.0246696165482037
AIOZ,1.0278910914776171
USDS,1.1022640416689573
WLD,1.1357316610598245
BEAM,1.1385265212232347
MORPHO,1.143492109982334
AR,1.1577810432927322
SPX,1.1678814407823945
ALGO,1.1783153116228584
WIF,1.1836615236901014
CRV,1.1943206482818878
ETHFI,1.2108958597397492
DEEP,1.2133604478004594
BRETT,1.2295182555134145
REKT,1.271652004752935
IP,1.2785038313960309
SYRUP,1.2810453819489602
1INCH,1.304014694075652
XLM,1.3064206166976078
HBAR,1.3336025036169747
POPCAT,1.3722185827834499
TEL,1.4062888871838857
FLOKI,1.4410443014336347
FARTCOIN,1.4638327436634813
MOG,1.4750073625282045
DRIFT,1.5007907038712327
ENA,1.5431506217156972
TURBO,1.5591075912224062
WEMIX,1.5872365750552033
CVX,1.59772868358608
BONK,1.6104982011183284
TKX,1.768969290943987
ZBCN,1.8034778012434396
XTZ,1.8238476778980883
PENGU,1.9135859285407162
CFX,4.07282110623858
FRAX,4.513215989825318
B,
BTC,
PUMP,
TBTC,
USDF,
WBTC,
