group,dow,rv_7d
Stable_Bottom5,0,0.005338974404549242
Stable_Bottom5,1,0.0045562843108078715
Stable_Bottom5,2,0.004885206140730425
Stable_Bottom5,3,0.00493433995201718
Stable_Bottom5,4,0.004783217491535782
Stable_Bottom5,5,0.004686362430879235
Stable_Bottom5,6,0.005043042204604047
Volatile_Top5,0,0.41777370552092213
Volatile_Top5,1,0.40877754359531976
Volatile_Top5,2,0.372866380420201
Volatile_Top5,3,0.3930174913547624
Volatile_Top5,4,0.42884618292587223
Volatile_Top5,5,0.43663803772891174
Volatile_Top5,6,0.4334959979891704
