coin,spikes_count,pct_up,median_mag_pct,mean_mag_pct,median_vol_z
1INCH,7,0.8571428571428571,4.591657903960744,4.058632855399339,2.5589252861143166
A,3,0.6666666666666666,6.468350051885152,3.0255517448408633,0.7296419243655171
ADA,1,1.0,4.158560311284054,4.158560311284054,4.973637202645654
AERO,4,0.75,4.626097553894947,2.4547421862285534,5.344721184757495
AIOZ,2,0.5,0.4827562225091562,0.4827562225091562,4.795221223873068
AKT,3,0.6666666666666666,4.51559934318555,3.9178891513125884,6.7037477893688004
ALGO,5,1.0,5.178907721280601,5.667617419420141,4.315410545114997
AMP,2,1.0,7.2075219049282495,7.2075219049282495,10.72702234277988
APE,1,1.0,4.020447637468916,4.020447637468916,1.5542780003087577
APT,2,0.0,-4.1796603866555095,-4.1796603866555095,3.6986804536722206
AR,4,0.75,4.349309314901295,2.0390621721293964,1.7134006075882942
ARB,1,0.0,-4.173452768729646,-4.173452768729646,3.1057747409547636
ATH,1,0.0,-4.843387470997673,-4.843387470997673,1.0525618146717426
AVAX,1,1.0,4.351362342415621,4.351362342415621,2.746537715095101
AXL,7,0.5714285714285714,4.964358452138495,1.5645335602602235,4.326396406675722
B,10,0.6,4.259362091808905,-0.3000137482771071,3.706675176387746
BDX,2,0.5,0.4588382884778306,0.4588382884778306,1.7535422252319934
BEAM,35,0.5142857142857142,5.114873035066503,0.2501665240042513,-0.08034003943854784
BONK,10,0.8,4.68779606260421,3.4503216939015835,1.267611182631737
BRETT,9,0.6666666666666666,4.912959381044479,2.0096886880274556,1.3954992508547719
BSV,4,0.75,4.70042057488087,4.172225946502959,10.637257563794545
CAKE,2,0.0,-4.150794657721624,-4.150794657721624,0.6224944286452695
CBETH,1,1.0,5.514156055923092,5.514156055923092,2.346306631496036
CFX,31,0.7096774193548387,5.46946216955333,3.595788164511281,-0.043790726662418775
CMETH,1,1.0,4.823697780906433,4.823697780906433,6.99543646802955
COMP,5,1.0,4.562586788335654,4.782855964305979,6.544743636039906
CORE,1,1.0,6.161971830985924,6.161971830985924,1.1143305392381135
CRO,3,1.0,5.29583637691744,5.412140430070863,6.333783200469428
CRV,16,0.6875,4.371257695308561,2.1460046733958156,1.857765467799723
CTC,9,0.6666666666666666,5.041746949261405,1.8759112216599603,-0.14418117549208045
CVX,15,0.6666666666666666,5.065789473684235,2.3543375253394543,1.6756169530357352
DEEP,10,0.5,0.2276285358477126,0.06505808950357891,-0.15196960212834967
DEXE,4,0.25,-5.3535058172336285,-3.1049264221463755,2.9752252974010474
DOGE,2,1.0,4.1473364563257125,4.1473364563257125,4.131174796297796
DRIFT,10,1.0,5.585460123630481,6.811708665163709,3.3838052176706603
EIGEN,2,1.0,4.164306757985214,4.164306757985214,0.3816516259176972
ENA,9,0.7777777777777778,6.660899653979246,4.447813398252592,2.027429107980517
ENS,5,0.8,4.514187446259665,4.4522528437138,3.0386737401779764
EOS,2,1.0,6.1753766773794405,6.1753766773794405,5.694657107522138
ETC,6,1.0,5.286399773634343,5.2372456240771506,4.076044056767572
ETH,2,1.0,6.174905817526333,6.174905817526333,1.9600931296994266
ETHFI,5,1.0,4.182156133828996,4.505201832756418,0.24165979581803426
FARTCOIN,17,0.29411764705882354,-4.820766378244745,-2.0490819743418514,1.4439456533908877
FET,2,1.0,4.1564568562647235,4.1564568562647235,2.064380993664625
FLOKI,11,0.7272727272727273,4.590665646518732,2.690340848696371,1.6010190177643362
FLR,8,0.625,5.042694152252025,1.8586789767670475,4.351663562280137
FRAX,20,0.5,-2.1604228768276057,21.839437907825864,-0.040267625504142826
GNO,2,0.5,0.02054358564063108,0.02054358564063108,2.3731301402161984
GRT,1,1.0,4.09756097560976,4.09756097560976,0.3128548216338018
HBAR,9,0.8888888888888888,4.558762024257623,4.296463156093159,2.4723390760795265
HNT,3,1.0,4.256779951939582,4.958446501691505,2.230196383349564
HYPE,9,0.4444444444444444,-4.192825112107634,-0.759076755258196,-0.08824170560223579
IMX,2,1.0,4.847949176957944,4.847949176957944,2.368353142271194
INJ,2,0.5,-0.024056318069087812,-0.024056318069087812,0.8818802718787829
IP,8,0.375,-4.134489503085015,-0.9597755732522529,2.2822984540746063
JASMY,3,1.0,4.761904761904745,5.516435091505907,1.537190103654299
JITOSOL,4,0.5,inf,inf,-0.30943445990788043
JST,2,0.5,1.8902098012084205,1.8902098012084205,16.030734555892835
JTO,4,0.5,-0.10250167136278154,-0.1724238220773362,4.539912905618994
JUP,4,1.0,4.485191106399055,4.5350699132314265,2.049940428911518
KAIA,3,1.0,4.486785494775658,4.482420288743549,0.6669853710691528
KAS,2,1.0,4.8647422903156485,4.8647422903156485,10.568750609305273
KAVA,2,0.5,0.233651232976817,0.233651232976817,0.183229239637562
LDO,6,0.6666666666666666,4.413286905840907,1.9625189312559226,4.285204144969996
LSETH,8,0.375,-4.140398589204658,-0.9401412067693597,-0.12634252662907164
LTC,1,1.0,8.56619772595877,8.56619772595877,12.33743471055496
METH,1,1.0,5.029415080949495,5.029415080949495,1.139601950045839
MOG,5,0.6,6.41025641025641,0.8638030781084959,1.6785762258258756
MORPHO,1,1.0,5.421686746987953,5.421686746987953,2.286815003440807
MOVE,10,0.5,0.021377958172807965,0.4656736497721802,0.8078558025541785
MSOL,1,1.0,4.141858659073261,4.141858659073261,-0.31891528893602517
NEAR,1,1.0,4.047530634979579,4.047530634979579,1.6754396650774084
NEO,1,1.0,4.1038184535942435,4.1038184535942435,0.43711510973223106
OHM,1,1.0,5.41844289881086,5.41844289881086,0.0
ONDO,2,1.0,6.091404353101948,6.091404353101948,7.993634203631084
OP,4,1.0,5.337756541768401,5.9622080663491115,0.3537962912368131
PENDLE,3,0.6666666666666666,4.381500331931831,1.503608317778852,1.8127588257986131
PENGU,24,0.8333333333333334,5.660621028427071,4.681546892121244,1.2237532374089497
PEPE,2,1.0,4.246765468099911,4.246765468099911,3.5132133217453507
PI,4,0.5,-0.3265380596830014,-0.5949218945845021,0.6534118305015439
POPCAT,7,0.8571428571428571,4.206935758953945,3.558792731374254,2.4751160612669856
PUMP,14,0.5714285714285714,5.064181863539996,1.4923024069873878,1.863232406495433
PYTH,1,1.0,5.594405594405605,5.594405594405605,4.384628130268649
RAY,11,0.5454545454545454,4.046041158004887,0.7454178400023079,0.8784696431191494
REKT,6,0.6666666666666666,6.029159519725546,3.042107275706542,2.5450214951610723
RENDER,1,0.0,-4.042647712127934,-4.042647712127934,1.8400401014294432
RSR,2,1.0,4.749918020690536,4.749918020690536,0.8568456952454592
S,3,1.0,4.406779661016946,4.3607469502968526,0.7024739577866383
SAROS,8,0.875,5.1597375819548486,3.9971899564226336,3.2922274795632136
SEI,5,1.0,4.675324675324677,4.6783220834469,3.9135665505763155
SKY,2,1.0,4.811312799497481,4.811312799497481,1.1841062934742321
SPX,11,0.45454545454545453,-4.94858611825193,-0.3921124453189867,1.4926028570884213
STETH,1,1.0,5.4449422339516,5.4449422339516,7.087129924165657
STRK,1,0.0,-4.605263157894745,-4.605263157894745,3.35947402831382
STX,1,0.0,-4.0848676990611015,-4.0848676990611015,1.711116451593053
SUI,2,1.0,4.225461103578832,4.225461103578832,3.8820325161031226
SUN,11,0.5454545454545454,4.241585984324581,0.6120959480972394,-0.1515329511673861
SUPER,1,1.0,4.232497463400486,4.232497463400486,2.14519172620105
SYRUP,5,0.8,4.69581309275966,5.675459960395428,0.44900829382651486
TAO,1,1.0,5.033738856326653,5.033738856326653,4.011269021152263
TEL,84,0.5119047619047619,4.661869440572197,0.5346468585721185,-0.11569439466506207
THETA,1,0.0,-4.80980012894906,-4.80980012894906,1.0022251046919148
TIA,2,1.0,4.175242990951167,4.175242990951167,0.6273760174219468
TKX,21,0.2857142857142857,-5.300774270399044,-3.7089887919924744,0.5242908467143117
TON,2,1.0,4.499734475988104,4.499734475988104,7.3428801849837955
TRUMP,2,1.0,5.002981142480934,5.002981142480934,6.904553238799766
TURBO,14,0.7142857142857143,4.8085543759341265,2.8446576162972668,0.7128177195188251
TWT,9,0.6666666666666666,4.407596371882083,1.6442937030229414,-0.08067168816080203
UNI,6,1.0,5.0319613446331735,5.452196895258484,5.674408716279251
USDX,6,0.5,1.2761780852460656,2.2124333011464064,0.44967664595306356
VENOM,2,1.0,5.248004902340597,5.248004902340597,0.27522267735318834
VIRTUAL,5,0.6,4.776869893148961,1.1020609376102564,2.026552166648088
W,4,1.0,4.3367763025125345,4.351138820957079,0.5082281906130244
WAL,2,1.0,4.5822321282046445,4.5822321282046445,1.3113439316222477
WBETH,1,1.0,5.4239875245313485,5.4239875245313485,0.5488716786730732
WEETH,1,1.0,5.029415080949495,5.029415080949495,2.226973769635401
WEMIX,20,0.55,4.091967766628479,0.045080585840322485,1.9037304786788791
WIF,11,0.7272727272727273,4.231581063423451,2.0825951894462267,2.5837700847032568
WLD,4,0.75,4.839877628494582,2.5947877326648188,3.7582788611233173
XCN,5,0.8,4.9221183800623125,3.6865363458223355,5.28820464131615
XDC,4,0.5,0.3462132505036686,1.1446538905430323,3.5995364228114775
XEC,1,0.0,-12.125162972620608,-12.125162972620608,23.445356594141565
XLM,11,0.9090909090909091,4.578532443905403,4.779510361224812,2.203273832538956
XTZ,11,0.7272727272727273,5.888376856118782,5.188621356023374,2.0355362225277442
ZBCN,26,0.7692307692307693,5.475424835756437,3.332368213456201,0.47834672536408607
ZEC,1,0.0,-6.3470319634703065,-6.3470319634703065,8.73735989200525
ZK,4,1.0,4.496254710216785,4.4347226351356905,2.565407255847119
